,True value,Bias,Std deviation,RMSE
pop_params[0],2.5,-0.003983021,0.03764859,0.037858695
pop_params[1],-1.3,0.00034451485,0.03301243,0.03301423
pop_params[2],0.2,-0.0002988428,0.02489426,0.024896054
random_prec.flat[0],0.2554128,-0.0018129349,0.03957347,0.039614975
random_prec.flat[1],0.804719,-0.0038592815,0.024938561,0.025235409
random_prec.flat[2],0.6019864,-0.0018213987,0.032048777,0.03210049
noise_prec.flat[0],-0.26531416,6.186962e-05,0.0072611948,0.0072614583
"link_coefs.(0, 1)[0]",-0.5,-0.003905356,0.022506835,0.022843149
"link_coefs.(0, 1)[1]",-1.0,0.01033622,0.086023815,0.08664257
"link_coefs.(0, 2)[0]",-1.0,-0.0065186024,0.014749045,0.016125336
"link_coefs.(0, 2)[1]",-0.5,0.026925743,0.073385276,0.07816901
"link_coefs.(1, 2)[0]",-1.0,0.0010415912,0.019297529,0.019325618
"link_coefs.(1, 2)[1]",0.0,0.0034204554,0.0908357,0.09090007
"x_coefs.(0, 1)[0]",-1.3,-0.0044600964,0.06120144,0.061363738
"x_coefs.(0, 2)[0]",-0.9,-0.002581358,0.06485427,0.06490563
"x_coefs.(1, 2)[0]",-0.7,-0.0015862584,0.08751028,0.08752465
